algorithm,function,dim,best,mean,std,worst,success_rate_percent,mean_time_sec
Original GWO,Rastrigin,30,9.86702161753783e-06,1.6624558855937722e-05,6.125922520969331e-06,3.023900495691123e-05,100.0,0.25917040002532304
Original GWO,Styblinski-Tang,30,-1029.0912481214714,-768.4866091664228,96.81298761253134,-673.6826193314722,0.0,0.29028040000703187
Original GWO,Ackley,30,0.00012878832573948173,0.00020924104394994813,3.7117294016658415e-05,0.00026656708466932244,100.0,0.35587691999971865
Original GWO,Griewank,30,1.0442606002136756e-08,0.005277356613138639,0.012908104086478146,0.04300265097220923,90.0,0.39639280999545007
PSO,Rastrigin,30,34.823530973781885,45.76811041557919,7.6034739300992396,57.707586672192264,0.0,0.1517669799970463
PSO,Styblinski-Tang,30,-1061.8912169778944,-1015.2400400585595,26.1051301676248,-977.0708827038295,0.0,0.1897394000319764
PSO,Ackley,30,7.382612463446847e-05,0.00024382235992748136,0.0001282936264387461,0.0005290529893149376,100.0,0.21694629997946321
PSO,Griewank,30,1.0229355140722873e-09,0.004101286700398532,0.012303842835090385,0.04101281520566746,90.0,0.19720609999494626
HPRO,Rastrigin,30,4.287359047339123e-05,7.098221605019716e-05,1.5299811392264064e-05,0.00010263975377711176,100.0,0.30693795998813583
HPRO,Styblinski-Tang,30,-823.212854662195,-687.0360669451984,73.46723087467853,-587.0714495895313,0.0,0.3367615799768828
HPRO,Ackley,30,0.00043397005038814385,0.0004961889780955353,5.606664470052783e-05,0.0006429622580665928,100.0,0.317175300011877
HPRO,Griewank,30,4.658967711623774e-08,0.002409751539329252,0.004819610944395409,0.012157008991407259,80.0,0.35348591998917983
