algorithm,function,dim,best,mean,std,worst,success_rate_percent,mean_time_sec
Original GWO,Rastrigin,10,2.3289263140213734e-07,5.438320798134555e-07,1.614574416948832e-07,8.010427450244606e-07,100.0,0.19608005001209677
Original GWO,Rastrigin,30,9.86702161753783e-06,1.6624558855937722e-05,6.125922520969331e-06,3.023900495691123e-05,100.0,0.25917040002532304
Original GWO,Rastrigin,50,6.320791749203636e-05,0.00010976593547979973,2.4264281651916393e-05,0.0001549856115161674,100.0,0.3083972600288689
Original GWO,Styblinski-Tang,10,-391.6614420130724,-369.9301631585572,17.924511825746386,-338.57931050922895,20.0,0.21748992999782785
Original GWO,Styblinski-Tang,30,-1029.0912481214714,-768.4866091664228,96.81298761253134,-673.6826193314722,0.0,0.29028040000703187
Original GWO,Styblinski-Tang,50,-1181.0787370568444,-1051.8273806308846,98.1844388853991,-848.3047498137619,0.0,0.38526088002836334
Original GWO,Ackley,10,4.660552632573811e-05,6.524832259673375e-05,1.5823445400955343e-05,9.777424122647815e-05,100.0,0.25569020002149045
Original GWO,Ackley,30,0.00012878832573948173,0.00020924104394994813,3.7117294016658415e-05,0.00026656708466932244,100.0,0.35587691999971865
Original GWO,Ackley,50,0.0003420899468236094,0.00041442580588517685,4.7729212570056436e-05,0.0005161416133288022,100.0,0.4235516299959272
Original GWO,Griewank,10,3.7907843530859964e-10,0.005679954735112858,0.003746547930328946,0.009283676221706672,100.0,0.248611520009581
Original GWO,Griewank,30,1.0442606002136756e-08,0.005277356613138639,0.012908104086478146,0.04300265097220923,90.0,0.39639280999545007
Original GWO,Griewank,50,6.136951657964573e-08,0.006013613783836125,0.014115056328411382,0.04658814480931306,80.0,0.442687039996963
PSO,Rastrigin,10,2.9848771712798907,7.561683287766369,3.0569637454772374,11.939498609481348,0.0,0.1409871199983172
PSO,Rastrigin,30,34.823530973781885,45.76811041557919,7.6034739300992396,57.707586672192264,0.0,0.1517669799970463
PSO,Rastrigin,50,47.92647005804389,85.59349863000615,24.271429474154246,128.59939928364867,0.0,0.1915334699791856
PSO,Styblinski-Tang,10,-363.38821894073925,-342.183140368008,15.805332385617078,-306.84134274678934,0.0,0.17930208997568114
PSO,Styblinski-Tang,30,-1061.8912169778944,-1015.2400400585595,26.1051301676248,-977.0708827038295,0.0,0.1897394000319764
PSO,Styblinski-Tang,50,-1732.1167855877347,-1675.5631770023083,37.4020516247162,-1604.883204288832,0.0,0.21336513998685405
PSO,Ackley,10,7.549516567451064e-15,5.693223670277802e-14,6.199358122009031e-14,1.9939605522267811e-13,100.0,0.11626752999145537
PSO,Ackley,30,7.382612463446847e-05,0.00024382235992748136,0.0001282936264387461,0.0005290529893149376,100.0,0.21694629997946321
PSO,Ackley,50,0.008956870335556477,0.01339187938152948,0.0034968999033246385,0.020460785994363295,20.0,0.2701206499710679
PSO,Griewank,10,0.0,0.0681971890278211,0.1385621959065638,0.42255488459086,80.0,0.11845436997245998
PSO,Griewank,30,1.0229355140722873e-09,0.004101286700398532,0.012303842835090385,0.04101281520566746,90.0,0.19720609999494626
PSO,Griewank,50,5.2812791232481615e-06,2.5650571267143985e-05,1.5956650714576485e-05,5.785583243600456e-05,100.0,0.18778953999280928
HPRO,Rastrigin,10,3.4279500482625735e-07,1.021247781807233e-06,3.867592773892712e-07,1.5247972271481558e-06,100.0,0.24986332000698894
HPRO,Rastrigin,30,4.287359047339123e-05,7.098221605019716e-05,1.5299811392264064e-05,0.00010263975377711176,100.0,0.30693795998813583
HPRO,Rastrigin,50,0.0003181653736987755,0.0005499047279727165,0.0001815901494894469,0.0008568664042059027,100.0,0.3616279800073244
HPRO,Styblinski-Tang,10,-391.660460855825,-336.0025323509261,27.108747960073927,-305.5150521040474,10.0,0.28064723999705166
HPRO,Styblinski-Tang,30,-823.212854662195,-687.0360669451984,73.46723087467853,-587.0714495895313,0.0,0.3367615799768828
HPRO,Styblinski-Tang,50,-1282.6293874655046,-998.2612352194683,148.06585770210808,-836.0427412065242,0.0,0.3981355300056748
HPRO,Ackley,10,6.498699999157864e-05,0.00010482776618561118,3.2261143652413154e-05,0.00015875368581363958,100.0,0.2697994399815798
HPRO,Ackley,30,0.00043397005038814385,0.0004961889780955353,5.606664470052783e-05,0.0006429622580665928,100.0,0.317175300011877
HPRO,Ackley,50,0.0008011882201413023,0.0009105611735003016,8.010422921707997e-05,0.0010390772908235313,100.0,0.3704560700105503
HPRO,Griewank,10,7.91821719303698e-10,0.020931234755516826,0.019643611863953758,0.04385287679435512,50.0,0.25923349999357015
HPRO,Griewank,30,4.658967711623774e-08,0.002409751539329252,0.004819610944395409,0.012157008991407259,80.0,0.35348591998917983
HPRO,Griewank,50,2.6244949791198735e-07,4.103662798904395e-07,1.0115733471228989e-07,5.871399134660393e-07,100.0,0.4142773199826479
